Query,Expected_Doc,Top1_Correct,Top5_Correct,Expected_Rank,Search_Time,Top1_Doc,Top1_Score
Que debo hacer en una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,False,134,11.9839,Cateter central dinsercio central_limpio,0.1191
Cuanto tiempo debe estar monitorizado tras una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,False,231,12.3279,Aturada cardiorespiratoria a CCEE i CAPSBE_limpio,0.1205
Busca de la matrona senior de la mater,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,False,False,20,11.5474,Fluxometria_limpio,0.1222
Cual es el número de emergencia en la sede de maternidad?,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,True,True,1,14.0688,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio,0.1329
Que puedo hacer para favorecer el descanso nocturno de un paciente?,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio.txt,False,False,240,21.5354,Crisi dagitacio Maneig del pacient infantojuvenil en medi extrahospitalari_limpio,0.1246
Se puede quedar un familiar por la noche?,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio.txt,True,True,1,12.7317,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,0.1224
Que puedo nebulizar de antibiótico?,Administracio dantibiotics via inhalatoria_limpio.txt,False,False,57,11.9887,Determinacio de les concentracions plasmatiques dantibiotics en adults_limpio,0.2991
Como nubulizo un atb en un paciente con canula de plata?,Administracio dantibiotics via inhalatoria_limpio.txt,False,False,6,12.6195,Cateter central dinsercio central_limpio,0.1185
Número de busca del equipo de HDOM,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio.txt,False,False,282,11.2241,Gestio de procediments normalitzats de treball PNT a la Inther Unit_limpio,0.1232
A que temperatura se debe guardar el levosimendam?,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio.txt,False,False,124,12.0265,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1212
Cuando debería usar cámara espaciadora para nebulizar?,Administracio de medicaments Via Inhalatoria Pols seca_limpio.txt,False,False,7,12.1574,Administracio de medicaments Via inhalatoria_limpio,0.1232
Como se debe colocar la lengua en la nebulización de medicación?,Administracio de medicaments Via Inhalatoria Pols seca_limpio.txt,False,False,13,12.5417,Administracio de medicaments Via inhalatoria_limpio,0.1290
Que medicamentos se nebulizan en forma de polvo seco?,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio.txt,False,False,95,12.2285,Drenatges abdominals_limpio,0.1197
Como se utiliza la nebulización en forma de polvo seco en monodosis?,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio.txt,False,False,58,13.0641,Hidratacio oral en persones ancianes amb o sense disfagia_limpio,0.1222
A cuantos litros se debe poner el aire en la nebulización de medicación?,Administracio de medicaments Via inhalatoria_limpio.txt,True,True,1,13.7743,Administracio de medicaments Via inhalatoria_limpio,0.1396
Nebulizo la medicación con oxigeno o con aire?,Administracio de medicaments Via inhalatoria_limpio.txt,True,True,1,11.8970,Administracio de medicaments Via inhalatoria_limpio,0.1199
Que podemos administrar por vía  intradérmica?,Administracio de medicaments Via intradermica_limpio.txt,False,False,36,12.0146,Desbridament larval_limpio,0.1199
Como se que he administrado un fármaco intradérmico de forma correcta?,Administracio de medicaments Via intradermica_limpio.txt,False,False,139,13.2918,Desbridament larval_limpio,0.1208
Como cargo medicación para administración intramuscular?,Administracio de medicaments Via intramuscular_limpio.txt,False,False,395,11.7805,Administracio de medicaments Via intradermica_limpio,0.1210
Que volumen máximo puedo administrar de forma intramuscular?,Administracio de medicaments Via intramuscular_limpio.txt,False,False,351,12.6131,Dilucio programacio i administracio de farmacs antimicrobians en bomba dinfusio a lHospitalitzacio a Domicili HDOM_limpio,0.1223
Como se administra un fármaco en bolus?,Administracio de medicaments Via intravenosa_limpio.txt,False,True,3,12.0582,Gestio i conservacio de farmacioles i sistemes automatitzats de dispensacio PYXIS R_limpio,0.1211
Donde preparo la medicación iv de un paciente domiciliario?,Administracio de medicaments Via intravenosa_limpio.txt,False,False,6,12.7833,Administracio de medicaments Via intradermica_limpio,0.1368
Que tipos de medicación via oftálmica hay?,Administracio de medicaments Via oftalmica_limpio.txt,False,False,121,13.1743,Determinacio de les concentracions plasmatiques dantibiotics en adults_limpio,0.1403
Durante cuanto tiempo puedo guardar un colirio para reutilizarlo?,Administracio de medicaments Via oftalmica_limpio.txt,False,False,397,12.8362,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,0.1242
Como se si un fármaco está en buen estado?,Administracio de medicaments Via oral_limpio.txt,False,False,17,13.0658,Gestio i conservacio de farmacioles i sistemes automatitzats de dispensacio PYXIS R_limpio,0.1260
Como administro un fármaco via oral en un paciente con disfagia?,Administracio de medicaments Via oral_limpio.txt,False,False,404,13.6397,Atencio a les persones en situacio dultims dies de vida_limpio,0.1196
Como identifico una pluma de insulina de un paciente?,Administracio dinsulina Via subcutania_limpio.txt,False,False,396,12.7143,Escalada de cures i derivacio dun pacient ingressat a HDOM a lhospital convencional_limpio,0.1221
Efectos secundarios de la insulina,Administracio dinsulina Via subcutania_limpio.txt,False,False,403,11.8174,Aplicacio de la tecnica terapeutica magnetoterapia_limpio,0.1376
En cuanto puedo diluir el ferinject?,Administracio segura de ferroterapia intravenosa al domicili_limpio.txt,False,False,32,12.8119,Cura de la ferida quirurgica_limpio,0.1253
Cuales son los efectos secundarios más importantes del hierro iv?,Administracio segura de ferroterapia intravenosa al domicili_limpio.txt,True,True,1,13.1356,Administracio segura de ferroterapia intravenosa al domicili_limpio,0.1189
Que debo hacer en caso de tener un paciente en aislamiento social no deseado?,Aillament social solitud_limpio.txt,False,False,348,14.3734,Determinacio de les concentracions plasmatiques dantibiotics en adults_limpio,0.1235
A quien se interconsulta si tengo un paciente aislado?,Aillament social solitud_limpio.txt,False,True,2,12.6419,Acollida i atencio integral al pacient en el CDI_limpio,0.1228
La rivabirina necesita receta de prosereme?,Alta del pacient trasplantat hepatic_limpio.txt,False,False,364,11.9930,Atencio a les persones en situacio dultims dies de vida_limpio,0.1236
Consideraciones al pautar pentamidina,Alta del pacient trasplantat hepatic_limpio.txt,False,False,297,11.0130,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio,0.1302
Que debo revisar al alta de un paciente de enfermería,Alta infermeria_limpio.txt,False,False,174,12.0666,Gestio de procediments normalitzats de treball PNT a la Inther Unit_limpio,0.1263
Que puedo prescribir como enfermera al alta?,Alta infermeria_limpio.txt,False,False,185,11.8870,Gestio de procediments normalitzats de treball PNT a la Inther Unit_limpio,0.1208
Quien da la magnetoterapia?,Aplicacio de la tecnica terapeutica magnetoterapia_limpio.txt,True,True,1,10.9799,Aplicacio de la tecnica terapeutica magnetoterapia_limpio,0.1401
Puedo dar magnetoterapia en un paciente con audífonos?,Aplicacio de la tecnica terapeutica magnetoterapia_limpio.txt,True,True,1,12.0789,Aplicacio de la tecnica terapeutica magnetoterapia_limpio,0.1372
